GEOID,slope.unavailable,water.unavailable,wetlands.unavailable,total.unavailable
01,13.7014207469369,3.0842526653238,8.3750930898375,25.1607665020982
04,29.0782743447616,0.345926704272492,0.461509402482848,29.8857104515169
05,15.3068203278061,2.68384779002662,9.50145331737361,27.4921214352063
06,46.297867782888,3.10329932127143,0.871619858736989,50.2727869628964
08,34.4859522760356,0.348679456891693,1.51079505073082,36.3454267836581
09,17.5557216226754,5.64636173592057,8.85115814836134,32.0532415069573
10,0.745927263251591,9.42905649635806,22.0723291670198,32.2473129266294
11,8.48876442405021,8.50603837587102,1.47046202260049,18.4652648225217
12,0.1913638340927,9.17692582182083,33.5152099488557,42.8834996047692
13,7.84397194336255,2.09641762597734,16.4856249267008,26.4260144960407
16,52.5988219625936,0.98738598179197,0.872461841111323,54.4586697854968
17,3.21937566990685,2.2333973450223,1.97603791218038,7.42881092710953
18,5.96709434847288,1.60816231855013,1.59261142441739,9.1678680914404
19,4.19377456628894,1.15552584330832,2.0395522693369,7.38885267893416
20,1.72803036589944,1.01867468094705,0.88533792223266,3.63204296907916
21,39.8360985142261,1.99235606824922,1.14789506926261,42.9763496517379
22,0.640089211466022,10.2563865311433,28.189186158875,39.0856619014843
23,12.1910099975622,8.04634915555457,11.7678518598541,32.0052110129708
24,12.5400567623667,11.5906936895959,10.6802658064983,34.8110162584609
25,15.2271395728134,8.68783896924336,11.2168336415108,35.1318121835676
26,2.3504560506291,6.84381789034752,18.0426846393332,27.2369585803099
27,2.60931380082404,6.185259986524,18.5851460905931,27.3797198779411
28,4.03869819562924,2.92550206715143,15.1151073199858,22.0793075827665
29,12.9396120052778,1.77620579722425,2.32544250634218,17.0412603088442
30,34.576534195056,1.03909908921981,1.58182916591294,37.1974624501887
31,5.50801617430174,1.08763623350098,2.56682092554554,9.16247333334826
32,32.9258166382564,0.489576770476979,0.647903350221192,34.0632967589545
33,32.817914570896,3.83776735594659,6.3114605624317,42.9671424892743
34,6.50242736487947,7.71118666844125,20.0185451216992,34.2321591550199
35,20.0074337381708,0.163234689715382,0.362552294308261,20.5332207221944
36,21.46761275054,5.79957260177207,7.04752769316607,34.3147130454781
37,17.6076212569267,4.09899437869338,14.0326826002178,35.7392982358379
38,4.16768412421981,4.39398232575421,4.57188004521475,13.1335464951888
39,17.1121278609964,1.88240435509042,0.942238539993848,19.9367707560806
40,5.31764006869985,2.10258737073683,0.674526738351323,8.094754177788
41,45.446446233888,1.59518650415289,1.26463661216006,48.306269350201
42,33.2346466774555,1.55550767534651,1.55693584312925,36.3470901959313
44,3.85297699387502,13.1764763779315,12.2195600781692,29.2490134499758
45,4.87283696813837,4.58352263516161,22.7446560215947,32.2010156248947
46,7.4420237572671,3.51945776915342,1.86860703948347,12.830088565904
47,31.4473592051548,2.55194075840095,3.09025086466567,37.0895508282214
48,4.84184832963953,1.72740458294806,3.74234805066886,10.3116009632565
49,39.5888535697521,2.60757448265751,0.671622816680518,42.8680508690901
50,42.5389865752781,3.95239661157771,4.49189718639865,50.9832803732544
51,32.3693888444885,3.4091489196203,5.09044023918982,40.8689780032986
53,49.6376466010669,4.27053639765158,1.7745405637975,55.6827235625159
54,75.2025615635325,0.873660200624603,0.139563230298707,76.2157849944558
55,7.83422582532002,5.02404254408926,13.5517802613448,26.4100486307541
56,29.0923639531694,0.671108983122986,1.76069193094669,31.5241648672391
